filename,status,num_records,total_chars,thin_chunks,table_ratio,file_bytes,issues,preview
2023-Strategic-Plan-Ministry-For-Validation-Engagement-19_12_2023-1.json,EMPTY,0,0,60,0.00,6210341,Has 60 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Strategic-Plan-MinistryOfEducation-MediumTermExpenditureFramework.json,EMPTY,0,0,123,0.00,43484962,Has 123 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Strategic-Plan-NI.json,EMPTY,0,0,72,0.00,8270281,Has 72 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Strategic-Plan-National-E-Commerce-Strategy.json,EMPTY,0,0,15,0.00,1472412,Has 15 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Strategic-Plan-ODPP.json,EMPTY,0,0,103,0.00,8423606,Has 103 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Strategic-Who-Globally-DigitalHealth.json,EMPTY,0,0,14,0.00,773897,Has 14 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2023-Tax-Expenditure-Report-Final.json,EMPTY,0,0,23,0.00,1868566,Has 23 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-25-Survey-GoK-Kenya-Census-of-Agriculture-Pilot.json,EMPTY,0,0,79,0.00,13882381,Has 79 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Annual-Procurement-Plan-KeNHA-Maintenance.json,EMPTY,0,0,94,0.00,19288943,Has 94 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Annual-Report-AFA-Second-Quarter-Bulletin.json,EMPTY,0,0,43,0.00,5737003,Has 43 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Annual-Report-KICTANet.json,EMPTY,0,0,3,0.00,413973,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Annual-Report-KenGen-Integrated-Report.json,EMPTY,0,0,163,0.00,14744631,Has 163 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Annual-Report-National-Agriculture-Production.json,EMPTY,0,0,139,0.00,31826927,Has 139 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Annual-Report-Of-Acivities-and-Financial-Statements-for-the-Fiscal-Year-2024-2025-Final-Version-2-2.json,EMPTY,0,0,147,0.00,8400710,Has 147 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-AnnualEnergyPetroleumStatisticsReport.json,EMPTY,0,0,25,0.00,2902084,Has 25 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Audit-Report.json,EMPTY,0,0,69,0.00,5004989,Has 69 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Budget-Review-and-Outlook-Paper.json,EMPTY,0,0,40,0.00,11388401,Has 40 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Economic-Survey.json,EMPTY,0,0,432,0.00,77370533,Has 432 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-FinAccess-Household-Survey-Report.json,EMPTY,0,0,22,0.00,4136274,Has 22 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Financial-Statements-Auditor-General-Konza-Technopolis.json,EMPTY,0,0,58,0.00,3196100,Has 58 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Financial-Statements-KENYAPOWER.json,EMPTY,0,0,184,0.00,15553591,Has 184 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-IGF-Report.json,EMPTY,0,0,10,0.00,877500,Has 10 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2024-Medium-Term-Debt-Management-Strategy-14-2-2024-Final.json,EMPTY,0,0,23,0.00,2225393,Has 23 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
