agent,original_filename,filepath,size_kb,flags
Agriculture,SRI_CONTENT_2022-23_KALRO_ANNUAL_REPORT.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/SRI_CONTENT_2022-23_KALRO_ANNUAL_REPORT.pdf,8744.0,ALL_CAPS
Agriculture,Strategic-Plan-for-MOALF-for-2018-2022.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Strategic-Plan-for-MOALF-for-2018-2022.pdf,1774.6,
Agriculture,afa-first-quarter-e-bulletin-2023-2024.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/afa-first-quarter-e-bulletin-2023-2024.pdf,1466.2,
Agriculture,eu deforestation regulation-KH0923474ENN.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/eu deforestation regulation-KH0923474ENN.pdf,3376.6,HAS_SPACES
Agriculture,nationallandusepolicy2017.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/nationallandusepolicy2017.pdf,3866.5,
Agriculture,q4-bulletin-final.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/q4-bulletin-final.pdf,5474.5,
Agriculture,reviewed-draft-National-Agriculture-Insurance-Policy-29-04-2021-with-comments-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/reviewed-draft-National-Agriculture-Insurance-Policy-29-04-2021-with-comments-1.pdf,954.3,
ICT,2020-2021-Audited-Financial-Statements.pdf,/home/darwin/PRES/Executive/ICT/data/raw/2020-2021-Audited-Financial-Statements.pdf,20823.6,
ICT,2022 Kenya IGF report.pdf,/home/darwin/PRES/Executive/ICT/data/raw/2022 Kenya IGF report.pdf,2093.0,HAS_SPACES
ICT,2023-2024-Audited-Financial-Statements.pdf,/home/darwin/PRES/Executive/ICT/data/raw/2023-2024-Audited-Financial-Statements.pdf,10667.7,
ICT,2024-2025-Audited-Financial-Statements.pdf,/home/darwin/PRES/Executive/ICT/data/raw/2024-2025-Audited-Financial-Statements.pdf,19932.6,
ICT,Africa Tech Policy Summit 2025 Report.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Africa Tech Policy Summit 2025 Report.pdf,20026.1,HAS_SPACES
ICT,Audience Measurement and Industry Trends Report October to December 2025.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Audience Measurement and Industry Trends Report October to December 2025.pdf,898.3,HAS_SPACES
ICT,CA-Annual-Report-2022-2023.pdf,/home/darwin/PRES/Executive/ICT/data/raw/CA-Annual-Report-2022-2023.pdf,8528.9,
ICT,CA-Annual-Report-2023-2024.pdf,/home/darwin/PRES/Executive/ICT/data/raw/CA-Annual-Report-2023-2024.pdf,6267.5,
ICT,Computer Misuse and Cybercrimes.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Computer Misuse and Cybercrimes.pdf,421.5,HAS_SPACES
ICT,Dalberg-Implementation-of-the-Ajira-Digital-Program_Report_VF_20211207.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Dalberg-Implementation-of-the-Ajira-Digital-Program_Report_VF_20211207.pdf,23113.2,
ICT,Data Protection Act.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Data Protection Act.pdf,412.3,HAS_SPACES
ICT,Draft National Addressing Bill 2023.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Draft National Addressing Bill 2023.pdf,364.7,HAS_SPACES
ICT,Draft National Addressing Policy.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Draft National Addressing Policy.pdf,341.1,HAS_SPACES
ICT,EAIGF-2019.pdf,/home/darwin/PRES/Executive/ICT/data/raw/EAIGF-2019.pdf,89.4,
ICT,Executive Report County ICT survey 25.08.2020.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Executive Report County ICT survey 25.08.2020.pdf,3321.8,HAS_SPACES
ICT,FinAccess Household Survey Report 2024.pdf,/home/darwin/PRES/Executive/ICT/data/raw/FinAccess Household Survey Report 2024.pdf,8823.1,HAS_SPACES
ICT,Forensic Audit Report on National Optic Fibre Backbone Infrastructure and IP Based HIPATH 4000 Network Projects from the Auditor-General for August 2022.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Forensic Audit Report on National Optic Fibre Backbone Infrastructure and IP Based HIPATH 4000 Network Projects from the Auditor-General for August 2022.pdf,15547.5,HAS_SPACES
ICT,Global Geopolitics and the Future of Digital Rights Funding Donor Roundtable Report May 12 2025.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Global Geopolitics and the Future of Digital Rights Funding Donor Roundtable Report May 12 2025.pdf,5283.0,HAS_SPACES
ICT,Implementing-Huduma-Namba-Report-22.10.2020.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Implementing-Huduma-Namba-Report-22.10.2020.pdf,3060.6,
ICT,Invest-Kenya-BPO-Sector-Pack.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Invest-Kenya-BPO-Sector-Pack.pdf,4563.5,
ICT,KENYA-IGF-REPORT-2021.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KENYA-IGF-REPORT-2021.pdf,9588.6,ALL_CAPS
ICT,KICTANET-2022-ANNUAL-REPORT.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KICTANET-2022-ANNUAL-REPORT.pdf,2956.9,ALL_CAPS
ICT,KICTANET-State-of-ICT-Report-2017.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KICTANET-State-of-ICT-Report-2017.pdf,2060.1,
ICT,KICTANet Quarterly Spotlight Report - Jan-Mar2023_compressed.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KICTANet Quarterly Spotlight Report - Jan-Mar2023_compressed.pdf,1063.4,HAS_SPACES
ICT,KICTANet election observer report.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KICTANet election observer report.pdf,880.9,HAS_SPACES
ICT,KICTANet-10-years-report-2007-2016.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KICTANet-10-years-report-2007-2016.pdf,2426.3,
ICT,KICTANet_Annual_Report_2016.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KICTANet_Annual_Report_2016.pdf,4249.8,
ICT,KIGF 2017 final V.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KIGF 2017 final V.pdf,3235.3,HAS_SPACES
ICT,KIGF-2018-report.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KIGF-2018-report.pdf,4052.8,
ICT,KeIGF 2023 social media Report.pdf,/home/darwin/PRES/Executive/ICT/data/raw/KeIGF 2023 social media Report.pdf,3385.8,HAS_SPACES
ICT,Kenya AI Strategy 2025 - 2030.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya AI Strategy 2025 - 2030.pdf,23370.4,HAS_SPACES
ICT,Kenya Digital Masterplan 2022-2032 Online Version.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya Digital Masterplan 2022-2032 Online Version.pdf,12064.9,HAS_SPACES
ICT,Kenya IGF report 2024.pdf,/home/darwin/PRES/Executive/ICT/data/raw/Kenya IGF report 2024.pdf,17567.4,HAS_SPACES
